scat SCAT WCSTools 3.9.5, 30 March 2017, Jessica Mink (jmink@cfa.harvard.edu)
 BSC   0.0000000   0.0000000 J2000 r= 180.00 at epoch 2000.0000
BSC_number    RA2000     Dec2000     Mag Type  Arcsec
  1059   52.9545833  49.4008333   6.39  B9  240904.18
  1060   52.4129167  -6.8050000   5.99  G5  189802.70
  1061   52.6020833  11.3363889   5.14  A0  192426.79
  1062   52.4000000 -12.6747222   5.59  A5  192483.48
  1063   53.0358333  48.0236111   5.47  B8  238628.95
  1064   51.4008333 -69.3363889   5.96  F3  278215.54
  1065   52.8366667  27.5719444   5.96  A2  207443.97
  1066   52.7183333  12.9366667   4.11  K0  193743.00
  1067   52.6891667   6.1886111   5.94  G8  190595.52
  1068   53.3837500  58.7650000   6.40  A4  259140.76
  1069   53.1095833  46.0569444   5.31  F4  235375.60
  1070   52.6545833  -5.0752778   4.73  B9  190172.87
  1071   53.4216667  57.8688889   6.37  F7  257478.06
  1072   53.1629167  44.8555556   6.41  B2  233455.92
  1073   53.4125000  54.9747222   5.98  A3  251983.47
  1074   53.1666667  35.4616667   5.90  B1  218779.16
  1075   52.4791667 -42.6341667   5.78  A5  228167.37
  1076   52.5566667 -41.3700000   6.12  F7  226274.20
  1077   53.7533333  60.0411111   6.46  F3  262175.90
  1078   53.3962500  39.8994444   5.81  A5  225999.05
  1079   53.1500000   9.3736111   5.77  B9  193396.50
  1080   54.8533333  75.7397222   6.27  G9  294652.01
  1081   52.6541667 -47.3752778   5.99  A1  236681.14
  1082   52.9745833 -25.6141667   6.38  A3  205604.95
  1083   52.3445833 -62.9375000   4.72  F5  265905.42
  1084   53.2325000  -9.4583333   3.73  K2  193724.39
  1085   53.5345833  17.8327778   6.17  K1  199956.16
  1086   53.6108333  24.4644444   5.92  A3  206338.34
  1087   54.1225000  48.1927778   4.23  B5  241211.63
  1088   53.4470833 -21.6327778   4.27  B8  202984.22
  1089   53.7050000   6.4177778   6.49  G0  194285.74
  1090   53.1450000 -50.3786111   5.68  K2  243042.23
  1091   53.6558333  -9.8686111   6.25  A2  195397.68
  1092   52.7150000 -66.4897222   5.83  B8  273656.97
  1093   53.4866667 -31.0802778   6.20  F5  213707.77
  1094   54.5820833  56.9327778   6.30  B9  257638.49
  1095   53.6395833 -31.8747222   6.40  K3  215174.53
  1096   53.2150000 -61.0169444   6.41  K0  263277.77
  1097   54.5008333  42.5830556   6.42  B8  232873.59
  1098   53.9904167 -11.1936111   5.57  G7  197203.22
  1099   54.1970833   0.5877778   5.71  G9  195117.33
  1100   54.0725000 -17.4669444   5.23  B9  201472.39
  1101   54.2183333   0.4016667   4.28  F9  195189.65
  1102   54.4491667  15.4308333   6.39  A5  201283.08
  1103   54.7504167  20.9158333   6.50  Am  206557.14
  1104   53.6029167 -65.7644444   6.75  A3  273248.49
  1105   55.5387500  63.2166667   5.10  S3  270819.03
  1106   54.2737500 -40.2747222   4.58  K1  228761.10
  1107   62.5062500  86.6261111   5.86  F5  318395.33
  1108   54.6216667  -7.3916667   5.85  G5  197852.63
  1109   52.4950000 -78.3519444   5.70  G8  298581.11
  1110   54.8570833  16.5366667   6.16  K0  203431.64
  1111   54.7545833  -5.6261111   5.96  K1  197817.76
  1112   55.6779167  59.9694444   5.76  K3  264994.16
  1113   55.2829167  37.5800000   5.57  B7  227410.87
  1114   54.6987500 -27.9430556   6.01  A0  213489.55
  1115   54.9629167   3.0569444   5.57  G6  198072.23
  1116   54.9095833  -3.3930556   6.23  G5  197928.42
  1117   54.8558333 -10.4372222   6.19  G5  199873.81
  1118   55.1929167  25.3294444   6.11  A2  212183.25
  1119   54.9979167  -1.1205556   6.12  K1  198020.12
  1120   55.0475000 -15.2266667   6.33  G5  203190.12
  1121   55.1595833  -5.2105556   5.53  B9  199167.20
  1122   55.7312500  47.7875000   3.01  B5  243973.16
  1123   55.5937500  33.9650000   4.97  B0  223392.71
  1124   56.5037500  67.2016667   5.80  F0  279547.33
  1125   55.3075000 -11.8030556   6.49  F5  202110.93
  1126   55.5787500  19.7002778   5.69  B9  208247.99
  1127   56.0266667  48.5236111   6.06  K4  245800.64
  1128   55.3433333 -19.5847222   6.59  A3  207376.58
  1129   56.5095833  63.3450000   4.80  G0  272403.59
  1130   56.1704167  46.0997222   6.11  A7  242250.99
  1131   56.0795833  32.2883333   3.83  B1  222667.06
  1132   55.9466667  19.6650000   6.14  G8  209435.20
  1133   56.1308333  36.4600000   5.59  A2  228133.79
  1134   55.5620833 -31.9383333   5.00  B5  220755.03
  1135   56.2983333  42.5786111   3.77  F5  237184.21
  1136   55.8120833  -9.7633333   3.54  K0  202946.12
  1137   56.1170833  20.9286111   6.10  A0  211030.62
  1138   57.3075000  70.8711111   5.44  A2  287298.27
  1139   55.8908333 -10.4855556   5.60  A5  203531.06
  1140   56.2008333  24.2894444   5.46  B7  214319.09
  1141   56.4970833  45.6819444   5.66  B6  242340.52
  1142   56.2187500  24.1133333   3.70  B6  214208.10
  1143   55.7087500 -37.3136111   4.59  K2  228163.99
  1144   56.2904167  24.8391667   5.64  B8  215131.43
  1145   56.3020833  24.4672222   4.30  B6  214809.29
  1146   56.1270833  -1.1630556   5.25  B7  202086.02
  1147   56.8841667  55.9225000   6.10  B9  259828.39
  1148   57.5895833  71.3322222   4.63  A2  288437.97
  1149   56.4566667  24.3677778   3.87  B8  215203.01
  1150   56.2354167  -0.2966667   5.55  K4  202449.35
  1151   56.4766667  24.5547222   5.76  B8  215444.31
  1152   56.5120833  24.5280556   6.43  A0  215530.69
  1153   56.4183333   6.0500000   5.35  B3  203867.82
  1154   54.1250000 -78.3230556   6.29  K2  299477.98
  1155   57.3800000  65.5261111   4.47  M2  277544.58
  1156   56.5816667  23.9483333   4.18  B6  215204.81
  1157   56.0258333 -40.6602778   6.45  K1  233705.36
  1158   57.4029167  63.2972222   5.85  A5  273565.54
  1159   56.5395833   6.8030556   5.91  G9  204500.83
  1160   57.0762500  50.7366667   6.14  B8  251568.00
  1161   57.3316667  57.1180556   6.46  A0  262653.85
  1162   56.5354167 -12.1016667   4.42  M2  206542.91
  1163   56.9691667  33.6000000   6.57  B2  226793.80
  1164   56.9537500  32.1950000   6.25  G0  225065.27
  1165   56.8712500  24.1050000   2.87  B7  216270.30
  1166   57.9241667  68.5075000   6.32  B9  283610.98
  1167   56.2108333 -48.0613889   6.49  G8  245449.26
  1168   56.1408333 -54.2738889   6.30  K1  255652.35
  1169   56.3158333 -47.3597222   5.73  K1  244558.45
  1170   57.2841667  43.9630556   6.02  A9  241582.01
  1171   56.6141667 -29.3380556   5.90  A3  220803.47
  1172   57.0870833  23.4211111   5.45  B8  216334.47
  1173   56.7120833 -23.2497222   4.23  F3  214980.01
  1174   57.0679167  11.1433333   5.07  B3  207953.52
  1175   56.0500000 -64.8069444   3.85  K2  274492.04
  1176   57.5187500  44.9677778   5.66  G2  243610.67
  1177   57.3858333  33.0913889   5.11  A3  227362.94
  1178   57.2904167  24.0533333   3.63  B8  217554.80
  1179   56.8337500 -29.9019444   6.55  F8  222083.47
  1180   57.2966667  24.1366667   5.09  B8  217650.74
  1181   56.9150000 -23.8747222   5.24  A2  216196.95
  1182   57.1620833   0.2277778   5.91  K3  205784.55
  1183   57.4312500  23.7116667   6.17  B8  217694.80
  1184   56.9833333 -30.1677778   5.54  G6  222823.44
  1185   57.4791667  22.2444444   6.07  B8  216572.09
  1186   56.9566667 -36.1058333   6.21  B8  229901.40
  1187   57.1491667 -20.9030556   5.81  K5  214388.10
  1188   57.5787500  25.5794444   5.26  A2  219887.17
  1189   57.1475000 -37.6222222   5.40  A1  232391.84
  1190   57.1495833 -37.6205556   4.73  B9  232395.17
  1191   57.9737500  34.3591667   5.77  B1  230536.22
  1192   58.4304167  57.9750000   5.80  A5  265973.53
  1193   57.9025000  22.0316667   6.83  K0  217767.71
  1194   57.8158333  13.0458333   6.30  B9  211470.67
  1195   57.3637500 -36.2002778   4.17  G9  231128.24
  1196   59.1258333  71.8216667   6.34  A5  290836.02
  1197   58.0179167  31.1683333   6.25  A5  226983.25
  1198   58.4112500  48.6505556   5.76  K0  251112.40
  1199   58.0008333   6.5347222   5.67  B5  209639.30
  1200   57.6566667 -36.4252778   6.86  B9  232209.11
  1201   58.2916667  17.3269444   5.97  F4  215584.31
  1202   58.1733333  -5.3613889   5.48  B8  209983.61
  1203   58.5329167  31.8836111   2.85  B1  229278.99
  1204   59.3562500  63.0722222   5.03  B9  275955.53
  1205   59.2845833  61.1088889   5.00  K3  272566.87
  1206   58.3041667 -18.4344444   6.22  K+  216369.23
  1207   58.9925000  47.8713889   5.37  B6  251222.18
  1208   56.8095833 -74.2388889   3.24  M2  293215.30
  1209   58.8458333  31.0458333   6.10  O9  229282.11
  1210   59.1520833  50.6952778   5.28  F5  255766.30
  1211   58.5725000  -2.9527778   6.14  A2  211028.30
  1212   58.5729167  -2.9547222   4.79  G8  211030.02
  1213   58.4275000 -24.6125000   4.65  B6  221670.09
  1214   58.4120833 -34.7322222   5.11  B6  232207.92
  1215   59.1195833  35.0811111   5.49  B1  234593.00
  1216   58.3887500 -46.8936111   5.93  K2  248440.91
  1217   58.8179167 -12.0991667   6.00  A5  214506.34
  1218   59.2170833  22.4780556   5.63  F2  222397.26
  1219   58.5966667 -40.3572222   5.71  K0  239780.06
  1220   59.4633333  40.0102778   2.89  B0  241551.78
  1221   59.2658333  23.1755556   6.06  B9  223119.74
  1222   59.3600000  24.4619444   6.16  K0  224500.58
  1223   59.5129167  34.8144444   6.53  A8  235382.96
  1224   59.2570833   6.0400000   6.09  A2  214005.87
  1225   59.1579167  -9.7508333   6.19  F1  214743.24
  1226   59.6212500  38.8402778   6.30  K1  240489.60
  1227   58.6416667 -52.6905556   6.46  A4  257810.27
  1228   59.7412500  35.7911111   4.04  O7  237146.19
  1229   59.9166667  38.8205556   6.38  A1  241243.39
  1230   62.5116667  80.6986111   5.10  G8  308597.88
  1231   59.5075000 -13.5086111   2.95  M0  217571.47
  1232   59.7179167  -5.4700000   5.83  G9  215532.55
  1233   59.9195833  10.3308333   6.37  F5  217642.11
  1234   60.3112500  36.9900000   6.41  A0  240106.26
  1235   59.8754167 -12.5741667   5.60  K5  218410.75
  1236   59.0166667 -63.4636111   6.14  K1  276132.63
  1237   60.1537500  17.2966667   6.32  A0  221866.84
  1238   60.2033333  18.1938889   5.89  F4  222590.17
  1239   60.1700000  12.4902778   3.47  B3  219400.46
  1240   59.9812500 -24.0163889   4.66  B6  226108.88
  1241   61.5129167  68.6800000   5.87  K2  288049.54
  1242   61.1133333  59.1555556   5.06  F0  272375.29
  1243   60.4420833   9.9977778   5.67  B5  219363.52
  1244   60.3833333  -1.5497222   5.28  B5  217422.89
  1245   59.6787500 -57.1025000   6.05  F2  266707.94
  1246   60.1695833 -30.4908333   5.93  A2  232626.35
  1247   59.6862500 -61.4002778   4.56  M2  273666.24
  1248   61.6625000  65.5208333   6.17  A3  283164.99
  1249   60.6529167  -0.2688889   5.38  F5  218351.78
  1250   60.0654167 -51.5647222   6.51  M1  258943.33
  1251   60.7891667   5.9891667   3.91  A1  219469.97
  1252   61.0904167  24.1058333   5.47  G0  229734.16
  1253   60.9358333   5.4355556   5.33  B3  219884.12
  1254   60.9858333   8.1972222   5.46  F2  220716.00
  1255   61.6525000  54.0086111   6.31  K0  265670.94
  1256   61.1737500  22.0819444   4.36  K0  228464.03
  1257   61.0412500   2.8269444   5.36  F6  219887.38
  1258   60.8529167 -20.1441667   6.46  B2  226042.47
  1259   60.9033333 -20.1583333   7.01  K2  226219.42
  1260   61.9629167  62.3300000   6.99  B0  278611.56
  1261   61.6458333  50.3513889   4.29  A0  260495.84
  1262   61.3341667  22.0088889   5.90  G5  228935.28
  1263   61.0362500 -16.5888889   6.39  K2  224452.73
  1264   60.2241667 -62.1594444   4.51  M4  275723.05
  1265   61.0945833 -12.7925000   5.61  K0  222756.90
  1266   60.3258333 -61.0788889   4.97  K4  274132.36
  1267   61.1708333 -20.3816667   6.13  K0  227258.02
  1268   61.6516667  27.6000000   5.20  B9  234414.36
  1269   61.7520833  29.0013889   5.23  F1  235970.45
  1270   62.3650000  59.9080556   6.28  G8  275587.16
  1271   55.6337500 -85.2622222   6.41  B9  314379.69
  1272   61.4854167  -8.8561111   6.26  A3  222681.14
  1273   62.1654167  47.7125000   4.04  B3  258081.87
  1274   61.4445833 -20.5122222   6.34  G5  228253.27
  1275   61.4058333 -27.6516667   5.59  F1  233699.29
  1276   62.3433333  54.8288889   6.18  F5  268171.26
  1277   62.0637500  37.7277778   6.09  K1  245703.77
  1278   62.1525000  38.0397222   5.51  F7  246290.71
  1279   61.9250000  15.1627778   6.01  F3  226741.58
  1280   61.9975000  17.3397222   5.89  K5  228144.52
  1281   63.4370833  72.1263889   6.03  K1  295600.97
  1282   63.2150000  68.5016667   6.32  K0  289778.73
  1283   62.2916667  19.6091667   5.50  K2  230484.19
  1284   62.2566667  13.3983333   5.95  B9  227065.89
  1285   61.8545833 -42.9169444   6.59  K0  251245.86
  1286   62.7458333  33.5866667   5.72  K1  243267.33
  1287   62.7079167  26.4808333   5.41  F2  236767.65
  1288   62.3241667 -16.3858333   5.37  B4  228736.93
  1289   67.0541667  83.8077778   5.57  B5  315323.57
  1290   62.5937500  -6.9238889   5.44  G8  226116.68
  1291   62.1412500 -45.8647222   6.59  F2  255636.24
  1292   62.8345833   5.5230556   5.72  F4  226695.60
  1293   62.6987500  -8.8197222   5.70  G9  226972.43
  1294   61.8400000 -64.2225000   6.38  G3  281364.47
  1295   63.1308333  17.2775000   6.09  K0  231959.91
  1296   63.7575000  57.4602778   6.08  A4  274467.92
  1297   63.2133333  22.4136111   6.12  B9  235362.09
  1298   62.9662500  -6.8375000   4.04  F2  227426.37
  1299   62.6908333 -35.2738889   6.44  K1  244810.82
  1300   62.9008333 -20.3561111   5.79  A2  232982.61
  1301   63.4983333  37.9669444   6.45  G9  249851.90
  1302   62.7108333 -41.9936111   4.93  A9  252278.21
  1303   63.7245833  48.4094444   4.14  G0  262479.65
  1304   67.5004167  83.3405556   5.46  G8  314843.34
  1305   64.2233333  61.8502778   5.70  B5  281380.27
  1306   63.7220833  40.4836111   4.71  G5  253159.26
  1307   63.3950000  10.2122222   6.23  B8  229855.47
  1308   63.3804167   8.8905556   6.51  A2  229409.69
  1309   63.3879167   7.7161111   5.29  F2  229131.17
  1310   63.4579167  12.7533333   6.25  K0  230982.57
  1311   63.4850000   9.2636111   4.84  G5  229885.94
  1312   63.4091667  -1.1497222   6.44  B5  228293.79
  1313   64.2841667  57.8605556   5.71  K1  275954.37
  1314   64.1795833  53.6119444   5.19  A2  270091.27
  1315   63.6512500  10.0111111   5.22  B9  230697.12
  1316   63.1316667 -44.3683333   6.71  K3  256143.69
  1317   66.7616667  80.8241667   5.43  G6  311013.67
  1318   63.5987500 -10.2563889   4.87  K3  230588.51
  1319   63.9429167  15.4005556   6.32  F5  233800.74
  1320   63.8837500   8.8922222   4.29  B3  231195.14
  1321   63.8575000   6.1997222   6.93  G5  230478.68
  1322   63.8716667   6.1866667   6.31  G0  230526.82
  1323   63.3987500 -40.3577778   6.37  K3  252176.85
  1324   64.5608333  50.2955556   4.61  A2  266663.32
  1325   63.8179167  -7.6527778   4.43  K1  230646.80
  1326   63.5004167 -42.2944444   3.86  K1  254622.34
  1327   65.1679167  65.1405556   5.27  G5  287392.34
  1328   64.5341667  42.1411111   6.22  B9  257069.77
  1329   64.3150000  20.5786111   4.94  A3  237818.93
  1330   64.8054167  50.0488889   5.45  A7  266890.15
  1331   64.5966667  21.5791667   5.65  F0  239361.54
  1332   64.3300000  -6.4719444   5.94  G8  232219.31
  1333   65.0479167  50.9208333   5.55  B1  268478.31
  1334   64.6020833   9.4866667   6.54  A4  233904.78
  1335   65.4483333  60.7355556   5.39  M0  281809.88
  1336   63.6062500 -62.4738889   3.35  G8  281320.18
  1337   65.0600000  41.8080556   5.92  K0  258052.19
  1338   64.0066667 -51.4866667   4.25  F4  266985.60
  1339   64.8587500  21.1422222   5.35  B9  239960.93
  1340   63.7029167 -62.1919444   5.45  K0  281060.48
  1341   64.9029167  21.7736111   5.38  A0  240491.01
  1342   65.4658333  56.5066667   5.88  A3  276312.01
  1343   65.1025000  34.5666667   4.93  G8  250977.03
  1344   65.0416667  31.9533333   6.16  K5  248476.08
  1345   64.5662500 -20.7155556   6.00  G8  238735.53
  1346   64.9483333  15.6275000   3.65  K0  237363.83
  1347   64.4737500 -33.7983333   3.56  B9  248459.51
  1348   65.0887500  27.3508333   4.95  K1  244906.82
  1349   64.9062500  10.1213889   6.31  K0  235163.19
  1350   65.3883333  46.4988889   4.85  B4  264026.08
  1351   64.9904167  14.0352778   5.59  F0  236828.96
  1352   65.7412500  59.6163889   6.19  A4  280822.14
  1353   64.6558333 -22.9702778   6.07  Am  240441.58
  1354   65.1045833  18.7425000   6.12  F3  239424.42
  1355   64.1204167 -59.3019444   4.44  K2  277648.97
  1356   65.1512500  15.0952778   5.26  F0  237828.56
  1357   64.0879167 -60.9486111   6.37  Ap  279895.20
  1358   65.2200000  13.8641667   6.17  F6  237557.62
  1359   64.7625000 -33.9050000   6.37  A3  249392.25
  1360   65.1716667   6.1308333   5.77  G8  235163.48
  1361   65.2041667   9.2255556   6.53  A4  235965.89
  1362   65.1612500  -6.2455556   6.27  G8  235146.82
  1363   65.1783333  -7.5925000   5.85  B5  235477.63
  1364   64.8191667 -44.2680556   5.34  K2  260140.75
  1365   64.6666667 -52.8600000   6.09  F7  270102.06
  1366   65.3629167  -0.0980556   5.86  K3  235306.64
  1367   65.1625000 -20.6397222   5.38  A2  240672.12
  1368   65.5145833  14.0772222   5.72  A3  238664.89
  1369   65.6454167  25.6291667   5.37  B9  245421.96
  1370   65.5950000  20.8213889   5.91  M0  242214.24
  1371   65.8995833  42.4280556   6.23  A1  260849.01
  1372   64.4175000 -63.2555556   5.87  B9  283662.04
  1373   65.7337500  17.5425000   3.76  K0  240946.00
  1374   65.3804167 -25.7283333   6.01  F0  244647.57
  1375   65.8850000  20.9822222   5.99  B8  243269.09
  1376   65.8541667  16.7772222   5.64  A1  240994.37
  1377   66.1216667  34.1305556   5.73  B8  253522.60
  1378   65.9991667  24.3011111   6.36  B3  245666.12
  1379   66.1558333  33.9597222   5.76  F4  253473.70
  1380   66.0241667  17.4438889   4.80  A7  241886.88
  1381   65.9662500   9.4608333   5.12  A3  238727.92
  1382   66.7537500  57.5852778   6.32  A0  280028.73
  1383   65.9200000  -3.7455556   5.17  A2  237508.86
  1384   65.7737500 -24.8922222   5.83  K5  245330.50
  1385   66.2379167  19.0416667   5.98  F4  243399.91
  1386   65.7820833 -35.5450000   6.39  K1  253808.13
  1387   66.3420833  22.2938889   4.22  A7  245539.54
  1388   66.3541667  22.1997222   5.28  A7  245523.81
  1389   66.3725000  17.9280556   4.29  A2  243302.52
  1390   66.5262500  31.4388889   5.28  K1  252475.50
  1391   66.4054167  15.9408333   6.46  F7  242511.45
  1392   66.5770833  22.8136111   4.28  A8  246618.50
  1393   66.0091667 -34.0169444   3.96  K4  253098.34
  1394   66.5866667  15.6183333   4.49  F0  242998.65
  1395   65.4720833 -63.3863889   5.24  G8  285416.45
  1396   66.6516667  14.7136111   4.69  G7  242857.01
  1397   66.5879167   8.5902778   6.06  B6  240717.36
  1398   66.2350000 -34.7577778   6.55  F2  254396.10
  1399   66.8229167  22.9963889   5.53  B7  247531.28
  1400   66.7529167   2.0794444   6.23  K1  240368.85
  1401   68.3779167  72.5286111   5.94  A8  301134.24
  1402   66.8700000  11.2125000   5.88  B8  242410.82
  1403   67.0033333  21.6200000   5.72  Am  247332.98
  1404   66.3295833 -44.1608333   6.39  F6  263739.50
  1405   66.0508333 -57.0713889   6.29  G4  278108.17
  1406   67.2162500  30.3613889   6.40  F7  253726.23
  1407   67.1100000  16.3597222   4.97  K2  245109.51
  1408   67.0975000  14.7408333   5.90  F0  244410.79
  1409   67.1541667  19.1802778   3.53  G9  246555.76
  1410   66.7375000 -24.0813889   6.11  A2  247913.03
  1411   67.1437500  15.9622222   3.84  K0  245058.53
  1412   67.1654167  15.8708333   3.40  A7  245095.28
  1413   67.0150000   1.8586111   6.15  G9  241300.03
  1414   67.2091667  13.0475000   5.03  A7  244185.43
  1415   67.1337500   1.3808333   5.55  B3  241706.76
  1416   66.2720833 -61.2383333   5.94  K4  283809.43
  1417   68.0075000  53.9108333   5.77  B0  278123.12
  1418   66.7750000 -46.9475000   6.10  F5  267778.84
  1419   67.6595833  32.4580556   6.21  B9  256654.55
  1420   67.4287500  10.5216667   6.79  B5  244183.03
  1421   67.1625000 -19.4583333   5.96  K1  246721.95
  1422   67.5358333  15.6380556   5.58  F0  246276.19
  1423   67.2787500 -13.0483333   5.60  B1  244428.65
  1424   67.8500000  40.0102778   6.26  B8  263574.19
  1425   67.5100000  10.2625000   6.48  G8  244400.31
  1426   64.4962500 -80.2138889   5.69  K2  308891.15
  1427   67.6404167  16.1938889   4.78  A6  246860.82
  1428   67.6620833  15.6919444   5.48  A5  246732.58
  1429   67.0391667 -41.9600000   6.44  M1  263293.19
  1430   67.6554167  13.7244444   5.40  F0  245974.47
  1431   67.5404167 -13.5922222   6.24  G5  245527.95
  1432   67.9658333  15.8516667   6.02  F4  247841.85
  1433   67.3333333 -46.5152778   6.16  K1  268637.01
  1434   68.3537500  43.0638889   6.09  F0  267716.30
  1435   66.9412500 -62.5208333   5.75  K0  286516.00
  1436   68.0200000   5.4100000   6.39  F5  245242.71
  1437   67.9695833  -0.0438889   4.91  K3  244690.52
  1438   67.8579167 -13.6450000   6.21  A3  246651.94
  1439   67.6679167 -35.6536111   5.96  K0  259257.86
  1440   69.1008333  64.2616667   5.94  A1  291917.95
  1441   68.1558333  -3.2091667   5.81  B9  245490.65
  1442   68.3870833  18.0166667   6.25  B9  250185.45
  1443   67.7087500 -44.9538889   5.07  B2  267944.49
  1444   68.4620833  14.8444444   4.65  A8  249173.53
  1445   68.6583333  28.9611111   5.88  B9  257157.60
  1446   68.4504167   9.4130556   6.01  G8  247517.17
  1447   68.3416667 -10.7858333   6.06  K0  247475.04
  1448   68.5345833   5.5686111   5.68  A2  247107.12
  1449   68.4783333  -6.7388889   5.72  B9  247083.66
  1450   68.5591667  -6.8377778   6.09  K2  247388.85
  1451   68.5483333  -8.2313889   5.11  M3  247608.31
  1452   68.5487500  -8.9702778   5.26  K4  247765.83
  1453   68.3775000 -29.7666667   4.51  K0  256841.97
  1454   69.1725000  41.2647222   4.25  K4  268195.24
  1455   68.9279167  19.8816667   6.36  G5  252857.11
  1456   65.2412500 -81.5800000   5.79  F0  311343.08
  1457   68.9800000  16.5091667   0.85  K5  251585.81
  1458   68.9137500  10.1608333   4.25  A5  249335.44
  1459   69.1216667  23.3408333   6.02  F5  255239.61
  1460   68.8083333  -9.7366667   6.37  A1  248860.70
  1461   68.7520833 -19.9205556   6.13  K3  252285.30
  1462   69.0066667  -3.6119444   6.33  B7  248581.20
  1463   69.0795833  -3.3525000   3.93  B2  248821.42
  1464   68.8875000 -30.5622222   3.82  G8  258951.97
  1465   68.4991667 -55.0450000   3.27  A0  280361.99
  1466   69.9920833  53.4730556   5.35  A8  281698.70
  1467   69.9779167  53.0797222   5.05  K0  281272.57
  1468   71.5012500  76.6111111   6.49  F7  308832.05
  1469   69.3070833   0.9983333   5.31  B7  249517.33
  1470   69.6233333  26.9400000   6.47  F2  258898.85
  1471   69.5658333  20.6847222   5.92  B8  255369.34
  1472   69.5391667  16.0333333   5.79  F0  253326.64
  1473   69.5395833  12.5108333   4.27  A6  252166.85
  1474   69.4004167  -2.4733333   5.23  F0  249913.72
  1475   68.3916667 -62.8236111   5.79  K1  289141.43
  1476   69.2120833 -30.7166667   6.30  B9  260045.21
  1477   69.8462500  25.2183333   6.22  A5  258617.27
  1478   69.7883333  15.7997222   5.07  A4  254099.79
  1479   69.8187500  15.9180556   4.69  A5  254247.20
  1480   69.7758333   7.8708333   5.39  A5  251908.42
  1481   69.5450000 -14.3038889   3.87  K2  252741.99
  1482   70.3504167  48.3008333   5.67  A0  277466.67
  1483   69.7233333 -12.1230556   5.01  A2  252700.88
  1484   70.0141667  12.1977778   5.46  B8  253742.06
  1485   65.7120833 -82.8991667   6.76  A7  313507.74
  1486   70.8254167  59.5208333   6.50  A7  289475.95
  1487   69.8320833 -14.3591667   5.45  K1  253757.30
  1488   69.9466667  -1.0527778   6.10  K0  251820.71
  1489   70.4595833  38.2802778   5.99  G0  269201.41
  1490   70.3325000  28.6150000   5.78  A2  262135.11
  1491   72.2095833  75.9411111   6.06  A9  308676.83
  1492   69.1900000 -62.0775000   5.40  M8  289524.51
  1493   70.8400000  49.9738889   5.87  B9  280131.21
  1494   70.7262500  43.3650000   5.29  A1  274015.32
  1495   70.0283333 -24.4825000   5.58  G6  258803.32
  1496   70.1104167 -19.6716667   4.32  M4  256736.60
  1497   70.5612500  22.9569444   4.28  B3  259758.50
  1498   69.7679167 -51.6727778   6.44  K2  279417.47
  1499   70.8075000  24.0888889   6.13  F7  261128.00
  1500   71.0537500  40.7869444   6.08  B8  272768.74
  1501   70.9512500  32.8652778   6.45  A8  266722.03
  1502   70.1404167 -41.8638889   4.45  F2  271242.12
  1503   70.5145833 -37.1444444   5.05  F1  268488.25
  1504   70.0762500 -58.9436111   6.53  G5  287549.94
  1505   70.8941667  -8.7936111   6.82  F4  256058.26
  1506   70.8962500  -8.7961111   6.70  G8  256066.14
  1507   71.1075000  11.1461111   5.40  F0  257317.05
  1508   71.0220833  -8.5036111   5.90  B2  256458.80
  1509   70.7887500 -30.7655556   5.68  K2  264873.49
  1510   72.6516667  70.9416667   6.37  A0  303885.17
  1511   72.0012500  56.7572222   5.30  A3  288891.95
  1512   71.4270833  23.6280556   6.35  B5  262921.28
  1513   71.0333333 -18.6666667   5.53  A3  259437.66
  1514   71.6850000  40.3127778   5.97  G9  274089.97
  1515   72.0291667  55.6025000   6.26  F0  287863.52
  1516   70.6933333 -50.4813889   5.31  K0  280278.15
  1517   71.5700000  18.7350000   6.01  K4  261283.52
  1518   70.9341667 -41.0647222   6.25  K3  272671.56
  1519   71.5070833  11.7055556   5.37  A2  258858.56
  1520   71.3754167  -3.2547222   4.02  B5  257063.62
  1521   71.2675000 -21.2836111   5.72  K2  261315.60
  1522   71.6004167  -2.9544444   6.33  A2  257852.69
  1523   75.0862500  81.1938889   5.07  K3  315871.00
  1524   71.4566667 -34.0050000   6.86  A0  268970.58
  1525   71.6075000 -28.0875000   6.19  A3  265814.40
  1526   71.4808333 -39.3566667   6.05  K1  272819.98
  1527   73.0216667  63.5052778   5.44  M3  297053.26
  1528   72.3291667  32.5883333   5.86  A8  270653.36
  1529   72.3033333  31.4372222   5.58  K2  269885.03
  1530   71.0879167 -59.7327778   5.27  A8  290151.67
  1531   69.5904167 -77.6561111   6.05  K2  308608.51
  1532   71.9012500 -16.9344444   5.51  G2  261760.97
  1533   72.4775000  37.4883333   4.88  K3  274242.06
  1534   72.1858333   3.5883333   6.03  K1  259998.93
  1535   72.7887500  48.7408333   5.66  G9  283491.00
  1536   72.1512500  -5.6738889   5.78  F8  260069.82
  1537   72.4337500  15.9041667   6.08  K3  263256.28
  1538   72.1354167 -16.3294444   5.77  F6  262363.76
  1539   71.9566667 -30.0202778   6.37  K1  267997.44
  1540   71.2412500 -63.2297222   6.46  K0  294017.87
  1541   70.7662500 -70.9311111   5.54  B8  301757.87
  1542   73.5125000  66.3427778   4.29  O9  300459.25
  1543   72.4600000   6.9613889   3.19  F6  261336.43
  1544   72.6529167   8.9002778   4.36  A1  262325.84
  1545   72.4258333 -13.7697222   6.26  F5  262607.86
  1546   73.2908333  52.8408333   6.41  A2  287995.99
